DNA
rabbit_488
Rat_555
Mouse_647
DNA1
CD11c
BP53_1 
CD1c
DNA2
CD4
CD3d
CD20
DNA3
CD163 
CD57
CD8a 
DNA4
cCasp3
pSTAT1
yH2AX 
DNA5
CD15
Ki67
PDL1
DNA6
IBA1
FOXP3 
PD1 
DNA7
Ecadherin 
vimentin
CD31
DNA8
P21
CK7 
CD45
