DNA1
Rabbit
Goat
Mouse
DNA2
TAZ
CD207
SNAT1
DNA3
CD163
CD57
CD20
DNA4
Annexin
pSTAT1
KRAS
DNA5
CD4
pERK
CD8a
DNA6
CD45RO
FOXP3
CD3d
DNA7
TIM3
oldCD68
Desmin
DNA8
CD15
oldCD11b
FOXOA3
DNA9 
HE4
CD11c
yH2AX
DNA10
Ki67
Vimentin
MHCII
DNA11
LaminB1
CK7
MHCI
DNA12
Ecadherin
SMA
CD31
DNA13
IBA1
CD68
CD11b

