"cycif.slide","cycif.core.id","N.cancer.cells","Total.cells"
"TMA_44_810","core55",1393,3929
"TMA_44_810","core56",6441,6920
"TMA_44_810","core57",595,2134
"TMA_44_810","core58",5149,6360
"TMA_44_810","core59",4728,5420
"TMA_44_810","core6",3130,5741
"TMA_44_810","core60",4425,4915
"TMA_44_810","core61",1465,2779
"TMA_44_810","core62",4054,4439
"TMA_44_810","core63",2779,4097
"TMA_44_810","core65",3505,3908
"TMA_44_810","core67",4055,4280
"TMA_44_810","core69",2097,6089
"TMA_44_810","core7",2663,3746
"TMA_44_810","core71",1017,3617
"TMA_44_810","core72",2600,5021
"TMA_44_810","core73",918,2921
"TMA_44_810","core74",2583,4260
"TMA_44_810","core75",261,3960
"TMA_44_810","core76",2351,4442
"TMA_44_810","core77",1885,5196
"TMA_44_810","core78",3232,5253
"TMA_44_810","core79",3468,4704
"TMA_44_810","core8",3286,4491
"TMA_44_810","core80",2533,4794
"TMA_44_810","core81",6662,8136
"TMA_44_810","core82",3444,5193
"TMA_44_810","core83",3868,5061
"TMA_44_810","core84",4874,7486
"TMA_44_810","core85",5467,6713
"TMA_44_810","core86",2504,6640
"TMA_44_810","core87",4706,5734
"TMA_44_810","core88",4382,6866
"TMA_44_810","core89",2455,6067
"TMA_44_810","core9",3590,4433
"TMA_44_810","core90",3639,6296
"TMA_44_810","core91",2872,6401
"TMA_44_810","core92",557,3155
"TMA_44_810","core93",3732,5516
"TMA_44_810","core94",1406,5464
"TMA_44_810","core95",3765,5686
"TMA_44_810","core96",2068,5307
"TMA_44_810","core97",3423,5777
"TMA_44_810","core98",3748,5407
"TMA_44_810","core99",1220,4476
"TMA_45_312","core10",308,1906
"TMA_45_312","core11",3107,6465
"TMA_45_312","core13",26,7216
"TMA_45_312","core14",1650,4985
"TMA_45_312","core15",179,4734
"TMA_45_312","core16",19,2827
"TMA_45_312","core17",1166,1423
"TMA_45_312","core18",165,3231
"TMA_45_312","core20",1514,2279
"TMA_45_312","core21",2693,5695
"TMA_45_312","core22",1902,3762
"TMA_45_312","core24",2162,4283
"TMA_45_312","core27",4127,6324
"TMA_45_312","core28",206,3133
"TMA_45_312","core29",472,3497
"TMA_45_312","core30",201,1414
"TMA_45_312","core31",488,2134
"TMA_45_312","core32",2876,3594
"TMA_45_312","core34",3574,6363
"TMA_45_312","core35",4519,5734
"TMA_45_312","core36",269,4523
"TMA_45_312","core37",3144,5534
"TMA_45_312","core38",792,4577
"TMA_45_312","core39",1043,5229
"TMA_45_312","core40",981,4310
"TMA_45_312","core5",4009,4415
"TMA_45_312","core7",3328,3693
"TMA_46_325","core10",925,3342
"TMA_46_325","core11",1664,5087
"TMA_46_325","core12",1595,4643
"TMA_46_325","core13",1962,4285
"TMA_46_325","core14",527,2773
"TMA_46_325","core15",2956,4770
"TMA_46_325","core16",4213,4787
"TMA_46_325","core17",2206,3548
"TMA_46_325","core18",1583,3439
"TMA_46_325","core19",1579,4136
"TMA_46_325","core20",2177,3777
"TMA_46_325","core21",4321,5430
"TMA_46_325","core22",4,2935
"TMA_46_325","core23",2162,4042
"TMA_46_325","core24",1710,5325
"TMA_46_325","core25",3101,6494
"TMA_46_325","core26",3892,6560
"TMA_46_325","core27",2137,2907
"TMA_46_325","core28",3656,7303
"TMA_46_325","core29",4890,5793
"TMA_46_325","core30",3306,3610
"TMA_46_325","core31",1,4882
"TMA_46_325","core32",4821,6819
"TMA_46_325","core33",363,3655
"TMA_46_325","core34",54,5847
"TMA_46_325","core35",5738,6324
"TMA_46_325","core36",2857,4942
"TMA_46_325","core37",3121,5530
"TMA_46_325","core38",2095,5639
"TMA_46_325","core39",863,3023
"TMA_46_325","core40",3934,4846
"TMA_46_325","core41",440,6275
"TMA_46_325","core43",2913,6124
"TMA_46_325","core44",3614,6516
"TMA_46_325","core46",705,6478
"TMA_46_325","core47",4702,6637
"TMA_46_325","core48",2326,6326
"TMA_46_325","core49",3561,8364
"TMA_46_325","core5",2262,2632
"TMA_46_325","core50",1238,6490
"TMA_46_325","core6",3004,3487
"TMA_46_325","core7",3005,3420
"TMA_46_325","core8",3062,3969
"TMA_46_325","core9",1529,4639
